Marke,Modell,Beschreibung,Gewicht
MAN,15.216 HAK,"ohne Koffer oder Pritsche, 10R20 Zwilling",4500
MAN,17.232 FAK,"ohne Koffer oder Pritsche, Originalreifen 12R22,5 Zwilling",6100
MAN,TGM 18.320 BB,"mittleres Fahrerhaus, Radstand 4.500, 14.00R20 einzelbereift",6698
MAN,19.361U,"Fernfahrerhaus, Fahrgestell 8700 mm, Radstand 5200 mm, Kran, Pritsche mit Alubordwänden",11800
MAN,19.364 F2000 FAEC,"Fernfahrerhaus, Radstand 4500 mm, mit 4-Punkt-Zwischenrahmen, leere Staukästen und 700 l Diesel",10200
MAN,19.403,"Fernfahrerhaus, Radstand 5500 mm",8400
MAN,KAT 1 / 2-Achser,mit Winde ohne Pritsche,8200
MAN,KAT 1 / 2-Achser,mit Bühne/Bordwände,9300
MAN,KAT 1 / 3-Achser,mit Winde / ohne Pritsche und Staukasten,9500
MAN,KAT 1A1 / 3-Achser,"ohne Winde, nur Fahrgestell",9100
Mercedes,507D (T2),"langer Kastenwagen, Hochdach u. 6 Sitzplätzen (ca.)",3000
Mercedes,508D (T2),"langer Kastenwagen, Hochdach u. 6 Sitzplätzen (ca.)",3150
Mercedes,611D (T2),"4x2, kleines Fahrerhaus mit Alukoffer (4,2 m)",3200
Mercedes,613,Kastenwagen leer,3700
Mercedes,711,"Fensterbus, 4x2, komplett entkernt, ohne Diesel",3500
Mercedes,811D (T2),"4x2 FW LF8 Kabine ohne Aufbau, entkernt, wenig Diesel",3220
Mercedes,814,"6-Zylinder, 4x2 ohne Diffsperre, Fahrgestell mit Pritsche, Radstand 3700 mm, lt. Schein",4090
Mercedes,814,"6-Zylinder, 4x2, Differentialsperre, nur Fahrgestell ohne Reserverad, mit Fahrer (65 kg), ohne Unterfahrschutz, ca. 80 % Diesel",3500
Mercedes,814,"6-Zylinder, 4x2, Differentialsperre, mit Plywoodkoffer (ohne Ladebordwand), ohne Reserverad, mit Fahrer (65 kg), mit Unterfahrschutz, ca. 80 % Diesel",4450
Mercedes,818DA (Vario),"Fahrgestell, 3,70 m Radstand",3355
Mercedes,818DA (Vario),"Fahrgestell, 3,70 m Radstand, Doppelkabine",3540
Mercedes,818DA (Vario),"Fahrgestell, 4,25 m Radstand",3385
Mercedes,818DA (Vario),"Fahrgestell, 4,25 m Radstand, Doppelkabine",3570
Mercedes,914 AK,"3,10er Radstand, inkl. Einzelbereifung, Zwischenrahmen u. Ersatzrad",5020
Mercedes,914 AK,"3,10er Radstand, inkl. Einzelbereifung, ohne Zwischenrahmen u. Ersatzrad",4400
Mercedes,917 AK,"3,60er Radstand, einzelbereift BAE 10x20 365/80R20, ohne Zwischenrahmen, mit Dachträger/Stauboxen",4600
Mercedes,917 AF,"nur Fahrgestell, 310 cm Radstand, Originalbereifung, 4050 kg – eingetragenes Leergewicht als WoMo mit ausgebautem FM2: 6540 kg",4050
Mercedes,917 AF,"nur Fahrgestell, 310 cm Radstand, einzelbereift 385/65R22,5, ohne Zwischenrahmen und ohne Ersatzrad, Tank ca. 20 l",4060
Mercedes,917 AF,"nur Fahrgestell, 365 cm Radstand, einzelbereift 365/80R20, ohne Ersatzrad, Tank 75 l. VA 3060 kg",4440
Mercedes,917 AF,"LN2, Doka medium, 310 cm Radstand, einzelbereift 335/80R20, ohne Aufbau, mit FW-Hilfsrahmen, ohne Ersatzrad, Tank ca. 40 l",5070
Mercedes,917 AF,"LF16-TS 4x4, Feuerwehrkoffer ohne Beladung, 365 cm Radstand, Doppelreifen",6580
Mercedes,917 AF,"LN2, nur Fahrgestell, 365 cm Radstand, einzelbereift, Doka auf Fernfahrerhütte gekürzt, 385/65R22.5",4600
Mercedes,1017,"nur Fahrgestell ohne Pritsche, ab",5200
Mercedes,1017 AF,"Doka (Metz), nur Fahrgestell, noch zwillingsbereift, Ersatzrad, Stabi und verstärktes Federpaket noch montiert",5650
Mercedes,1017 AF,"gekürzt Fernfahrer, Dämmung, Seitenanfahrschutz, Tank 500 l voll, Fahrer 75 kg, Heckunterfahrschutz mit AHK, Kleinkram",5500
Mercedes,1017 AF,"Wackenhut Doka, Rotzlerwinde & leerer GGKW78-Aufbau, Reserverad & 120 l Diesel",7650
Mercedes,1117,"original 3,6 m Radstand, Fernfahrerkabine, 5-t-Seilwinde, Pritsche ohne Spriegel (5,1 m) 6300 kg; ohne Pritsche exakt 5000 kg (VA li 1515, VA re 1525, HA li 905, HA re 1055, Dieseltank halb leer)",6300
Mercedes,1117,"original 3,6 m Radstand, Fernfahrerkabine, 13.00 Bereifung und Sprengringfelgen, 1x300 l + 1x400 l Stahltanks",4700
Mercedes,Atego 1018A,"Ex-BW mit Stahlstoßstange, Radstand 3,26 m, AL3 Vorderachse, breite HL4 Achse hinten, 365/80/20 auf Sprengringfelgen, ohne MG-Luke, nur Fahrgestell ohne Fahrer und Pritsche, ca. 40 l Diesel",5050
Mercedes,Atego 1018A,"Bj. 2003, kurzes FH, ohne Pritsche, mit Hilfsrahmen für GFK-Kabine, Radstand 3,26 m, Bereifung original 10R22.5, hinten zwillingsbereift, kein UFS, Originaltank ca. 70 l Restdiesel, Fahrer",4660
Mercedes,Atego 918AF,"Fahrerhaus kurz, 326 cm Radstand, original Einzelbereifung 4x Conti 335/80R20 MPT81 auf Stahlfelge, schmale H4 HA, nur Fahrgestell ohne Fahrer, ca. 50 l Diesel. VA 3300 kg, HA 1200 kg",4500
